campaign_id|campaign_name|campaign_type|campaign_objective|platform|target_segment|target_country|start_date|end_date|duration_days|budget_usd|actual_spend_usd|budget_utilization_pct|impressions|clicks|click_through_rate_pct|conversions|conversion_rate_pct|revenue_generated_usd|roas|cost_per_click_usd|cost_per_conversion_usd|status|ab_test_variant|utm_source|utm_medium
CAMP0016|Q3 2024 Retargeting - Product Launch|Retargeting|Product Launch|Meta Ads|All Customers|Ghana|2022-09-07|2022-09-17|10|4168.48|2405.31|57.7|497018|16921|3.4|398|2.35|17604.1|7.32|0.14|6.04|Completed|No Test|meta_ads|retargeting
CAMP0017|Q3 2024 SMS - Win-Back|SMS|Win-Back|Africa's Talking|Lost Customers|Global|2023-01-22|2023-04-11|79|2664.36|1545.59|58.0|437299|18819|4.3|549|2.92|85685.39|55.44|0.08|2.82|Completed|Variant A|africa's_talking|sms
CAMP0018|Q3 2021 Email - Product Launch|Email|New Customer Acquisition|Mailchimp|Hibernating|Nigeria|2021-03-27|2021-06-16|81|13338.24|10668.34|80.0|175840|10928|6.21|1411|12.91|57272.58|5.37|0.98|7.56|Completed|Variant A|mailchimp|email
CAMP0019|Q1 2022 Retargeting - Seasonal Promotion|Retargeting|Brand Awareness|Meta Ads|All Customers|Global|2022-04-09|2022-06-03|55|23623.24|13832.67|58.6|428046|18043|4.22|1034|5.73|147941.6|10.7|0.77|13.38|Completed|Variant A|meta_ads|retargeting
CAMP0020|Q1 2021 SMS - Brand Awareness|SMS|Product Launch|Africa's Talking|All Customers|All Markets|2021-05-31|2021-07-02|32|58433.83|30958.12|53.0|457468|20783|4.54|1351|6.5|202978.68|6.56|1.49|22.91|Active|Variant B|africa's_talking|sms
CAMP0021|Q4 2024 Paid Search - Brand Awareness|Paid Search|Customer Retention|Google Ads|High Value|Kenya|2021-08-14|2021-09-21|38|11150.64|10914.12|97.9|114518|6766|5.91|699|10.33|97297.42|8.91|1.61|15.61|Completed|Variant A|google_ads|paid_search
CAMP0022|Q1 2024 Social Media - Product Launch|Social Media|Seasonal Promotion|Meta Ads|High Value|Global|2023-12-28|2024-01-31|34|33406.75|17357.68|52.0|240315|16561|6.89|806|4.87|134829.12|7.77|1.05|21.54|Completed|No Test|meta_ads|social_media
CAMP0023|Q2 2024 Paid Search - New Customer Acquisition|Paid Search|Customer Retention|Google Ads|Hibernating|South Africa|2021-03-06|2021-05-02|57|2982.22|2481.05|83.2|258196|12104|4.69|546|4.51|61201.73|24.67|0.2|4.54|Completed|Variant A|google_ads|paid_search
CAMP0024|Q3 2022 Paid Search - Upsell/Cross-sell|Paid Search|New Customer Acquisition|Google Ads|Champions|East Africa|2021-11-09|2021-12-25|46|2342.35|2267.43|96.8|17319|1323|7.64|99|7.48|17965.2|7.92|1.71|22.9|Completed|No Test|google_ads|paid_search
CAMP0025|Q1 2024 Display - Lead Generation|Display|Customer Retention|Google Display Network|Lost Customers|South Africa|2023-02-18|2023-04-02|43|1726.85|896.18|51.9|173230|6018|3.47|167|2.78|20459.06|22.83|0.15|5.37|Completed|Control|google_display_network|display
CAMP0026|Q1 2021 Email - Product Launch|Email|Customer Retention|Mailchimp|New Customers|Nigeria|2023-02-19|2023-04-17|57|5731.43|5633.23|98.3|117205|3244|2.77|452|13.93|50360.54|8.94|1.74|12.46|Active|Control|mailchimp|email
CAMP0027|Q1 2024 Influencer - Brand Awareness|Influencer|Seasonal Promotion|Instagram|New Customers|West Africa|2021-09-07|2021-11-09|63|4026.62|3024.67|75.1|477595|27947|5.85|3974|14.22|443854.93|146.74|0.11|0.76|Completed|Variant B|instagram|influencer
CAMP0028|Q1 2023 Social Media - Brand Awareness|Social Media|Win-Back|Meta Ads|At Risk|East Africa|2022-06-24|2022-09-18|86|30631.89|27340.27|89.3|481687|10743|2.23|841|7.83|154891.01|5.67|2.54|32.51|Completed|No Test|meta_ads|social_media
CAMP0029|Q2 2021 Social Media - Win-Back|Social Media|New Customer Acquisition|Meta Ads|High Value|Ghana|2021-09-06|2021-11-23|78|3786.08|3076.42|81.3|116773|8524|7.3|402|4.72|25673.85|8.35|0.36|7.65|Completed|Variant A|meta_ads|social_media
CAMP0030|Q3 2023 Social Media - Lead Generation|Social Media|Upsell/Cross-sell|Meta Ads|Champions|All Markets|2022-05-25|2022-08-06|73|4110.91|3323.36|80.8|247792|9183|3.71|745|8.11|108104.25|32.53|0.36|4.46|Completed|No Test|meta_ads|social_media
CAMP0031|Q3 2023 Retargeting - Seasonal Promotion|Retargeting|Seasonal Promotion|Meta Ads|Champions|Nigeria|2023-04-18|2023-04-27|9|12974.34|11603.98|89.4|443162|26089|5.89|861|3.3|54820.59|4.72|0.44|13.48|Paused|Variant A|meta_ads|retargeting
CAMP0032|Q4 2023 Influencer - Upsell/Cross-sell|Influencer|New Customer Acquisition|Instagram|At Risk|Global|2021-01-14|2021-04-04|80|17101.62|9110.38|53.3|366173|18277|4.99|1311|7.17|47971.45|5.27|0.5|6.95|Completed|No Test|instagram|influencer
CAMP0033|Q2 2022 SMS - Win-Back|SMS|Brand Awareness|Africa's Talking|Champions|Nigeria|2023-02-24|2023-05-04|69|9623.98|6700.17|69.6|402897|5563|1.38|165|2.97|31626.19|4.72|1.2|40.61|Completed|Variant A|africa's_talking|sms
CAMP0034|Q4 2023 Display - New Customer Acquisition|Display|New Customer Acquisition|Google Display Network|New Customers|West Africa|2021-06-24|2021-07-12|18|12244.64|12058.33|98.5|273871|16332|5.96|1826|11.18|79158.14|6.56|0.74|6.6|Active|Variant A|google_display_network|display
CAMP0035|Q2 2022 Social Media - Lead Generation|Social Media|Brand Awareness|Meta Ads|Loyal Customers|Global|2021-02-20|2021-05-16|85|12454.05|6566.94|52.7|99940|6526|6.53|364|5.58|52239.38|7.95|1.01|18.04|Completed|Variant A|meta_ads|social_media
CAMP0036|Q4 2021 Push Notification - Upsell/Cross-sell|Push Notification|New Customer Acquisition|Firebase|New Customers|East Africa|2022-06-25|2022-08-21|57|40720.34|25710.74|63.1|140501|11068|7.88|971|8.77|93624.37|3.64|2.32|26.48|Paused|Control|firebase|push_notification
CAMP0037|Q2 2023 Email - Upsell/Cross-sell|Email|Customer Retention|Mailchimp|All Customers|Global|2023-07-20|2023-08-06|17|880.73|736.34|83.6|379474|14848|3.91|323|2.18|55129.07|74.87|0.05|2.28|Draft|Variant A|mailchimp|email
CAMP0038|Q1 2021 Social Media - Win-Back|Social Media|Upsell/Cross-sell|Meta Ads|Loyal Customers|All Markets|2021-07-09|2021-07-21|12|2995.8|1648.34|55.0|261925|11840|4.52|1044|8.82|166180.15|100.82|0.14|1.58|Completed|Variant A|meta_ads|social_media
CAMP0039|Q2 2024 Social Media - Seasonal Promotion|Social Media|New Customer Acquisition|Meta Ads|At Risk|Kenya|2023-10-24|2023-11-11|18|26419.84|20299.33|76.8|355944|25358|7.12|518|2.04|23764.97|1.17|0.8|39.19|Paused|No Test|meta_ads|social_media
CAMP0040|Q3 2022 Display - Seasonal Promotion|Display|Win-Back|Google Display Network|Lost Customers|South Africa|2021-09-12|2021-12-09|88|5229.01|4479.62|85.7|42225|1218|2.88|171|14.04|17819.4|3.98|3.68|26.2|Completed|Variant B|google_display_network|display
CAMP0041|Q1 2024 Email - Product Launch|Email|Win-Back|Mailchimp|Lost Customers|Kenya|2021-07-28|2021-08-28|31|11812.18|10379.48|87.9|325417|7563|2.32|644|8.52|16071.54|1.55|1.37|16.12|Completed|Variant A|mailchimp|email
CAMP0042|Q2 2021 SMS - Product Launch|SMS|Seasonal Promotion|Africa's Talking|New Customers|West Africa|2021-09-14|2021-10-16|32|476.78|372.17|78.1|71470|1380|1.93|46|3.33|4476.45|12.03|0.27|8.09|Completed|No Test|africa's_talking|sms
CAMP0043|Q2 2023 Display - Seasonal Promotion|Display|Customer Retention|Google Display Network|Lost Customers|Ghana|2022-10-08|2022-12-11|64|2636.04|1977.86|75.0|341944|26835|7.85|1726|6.43|252063.05|127.44|0.07|1.15|Active|No Test|google_display_network|display
CAMP0044|Q2 2023 Email - Product Launch|Email|Upsell/Cross-sell|Mailchimp|Hibernating|All Markets|2023-02-14|2023-05-11|86|867.37|743.29|85.7|86508|2502|2.89|65|2.6|4016.23|5.4|0.3|11.44|Completed|No Test|mailchimp|email
CAMP0045|Q2 2022 SMS - New Customer Acquisition|SMS|Lead Generation|Africa's Talking|High Value|Kenya|2021-10-20|2021-12-01|42|2723.22|1559.12|57.3|37119|2339|6.3|208|8.89|34487.65|22.12|0.67|7.5|Completed|Variant B|africa's_talking|sms
CAMP0046|Q4 2023 Display - Upsell/Cross-sell|Display|Customer Retention|Google Display Network|Hibernating|Nigeria|2022-09-15|2022-10-27|42|3795.13|3188.89|84.0|107889|4475|4.15|161|3.6|4760.72|1.49|0.71|19.81|Completed|Variant A|google_display_network|display
CAMP0047|Q2 2024 Push Notification - Seasonal Promotion|Push Notification|Lead Generation|Firebase|At Risk|Nigeria|2023-09-23|2023-10-20|27|7132.48|6844.49|96.0|41580|1116|2.68|91|8.15|2386.2|0.35|6.13|75.21|Paused|Variant A|firebase|push_notification
CAMP0048|Q4 2021 Display - Win-Back|Display|Win-Back|Google Display Network|New Customers|Ghana|2023-04-19|2023-06-13|55|19727.18|16597.99|84.1|300784|22238|7.39|1328|5.97|33122.26|2.0|0.75|12.5|Completed|Control|google_display_network|display
CAMP0049|Q1 2022 Social Media - Win-Back|Social Media|Customer Retention|Meta Ads|New Customers|Ghana|2022-03-09|2022-05-14|66|10924.76|5716.4|52.3|226482|9618|4.25|1145|11.9|80613.54|14.1|0.59|4.99|Completed|Variant B|meta_ads|social_media
CAMP0050|Q2 2021 Email - Product Launch|Email|Seasonal Promotion|Mailchimp|Lost Customers|All Markets|2022-08-16|2022-10-23|68|9915.59|7466.37|75.3|56758|2816|4.96|233|8.27|24250.42|3.25|2.65|32.04|Completed|Variant B|mailchimp|email
CAMP0051|Q4 2024 Influencer - Brand Awareness|Influencer|Customer Retention|Instagram|Lost Customers|Kenya|2021-05-10|2021-06-04|25|3317.25|2863.24|86.3|191042|4886|2.56|636|13.02|25020.53|8.74|0.59|4.5|Completed|Variant B|instagram|influencer
CAMP0052|Q4 2021 Email - New Customer Acquisition|Email|Lead Generation|Mailchimp|At Risk|Nigeria|2021-04-03|2021-04-20|17|1598.53|833.83|52.2|467020|15267|3.27|2174|14.24|433525.7|519.92|0.05|0.38|Completed|Variant B|mailchimp|email
CAMP0053|Q3 2021 Social Media - Product Launch|Social Media|Upsell/Cross-sell|Meta Ads|Champions|All Markets|2022-03-28|2022-06-20|84|4541.32|4001.35|88.1|213638|13318|6.23|1945|14.6|388846.33|97.18|0.3|2.06|Completed|Control|meta_ads|social_media
CAMP0054|Q2 2023 Email - Product Launch|Email|Lead Generation|Mailchimp|All Customers|All Markets|2022-06-21|2022-09-15|86|2254.17|1444.48|64.1|271128|9222|3.4|496|5.38|56327.96|39.0|0.16|2.91|Completed|Variant B|mailchimp|email
CAMP0055|Q2 2021 Display - Lead Generation|Display|Lead Generation|Google Display Network|Loyal Customers|Nigeria|2021-06-10|2021-06-19|9|2038.87|1619.65|79.4|389018|17668|4.54|2116|11.98|258663.47|159.7|0.09|0.77|Completed|Variant A|google_display_network|display
CAMP0056|Q4 2022 Social Media - New Customer Acquisition|Social Media|New Customer Acquisition|Meta Ads|At Risk|Kenya|2022-07-30|2022-10-01|63|1225.77|1205.14|98.3|125749|2264|1.8|174|7.69|32507.64|26.97|0.53|6.93|Active|Variant B|meta_ads|social_media
CAMP0057|Q1 2024 Push Notification - Upsell/Cross-sell|Push Notification|Upsell/Cross-sell|Firebase|Hibernating|South Africa|2021-07-10|2021-09-23|75|5421.62|5407.87|99.7|28924|2010|6.95|152|7.56|24101.53|4.46|2.69|35.58|Paused|Variant A|firebase|push_notification
CAMP0058|Q3 2023 Email - Seasonal Promotion|Email|Lead Generation|Mailchimp|All Customers|Ghana|2022-02-10|2022-04-10|59|5959.4|4870.04|81.7|461503|28443|6.16|3779|13.29|189821.37|38.98|0.17|1.29|Completed|Control|mailchimp|email
CAMP0059|Q3 2024 Influencer - Upsell/Cross-sell|Influencer|Brand Awareness|Instagram|All Customers|West Africa|2021-05-23|2021-08-03|72|17340.57|12931.59|74.6|291913|18464|6.33|719|3.89|116943.92|9.04|0.7|17.99|Completed|No Test|instagram|influencer
CAMP0060|Q4 2021 Social Media - Lead Generation|Social Media|Customer Retention|Meta Ads|Lost Customers|West Africa|2023-11-23|2023-12-11|18|18007.23|10603.49|58.9|347413|7807|2.25|641|8.21|39465.9|3.72|1.36|16.54|Completed|Control|meta_ads|social_media
CAMP0061|Q3 2023 Social Media - New Customer Acquisition|Social Media|New Customer Acquisition|Meta Ads|Champions|West Africa|2021-08-01|2021-10-08|68|9632.34|5819.54|60.4|392507|17530|4.47|1702|9.71|165850.72|28.5|0.33|3.42|Completed|Variant B|meta_ads|social_media
CAMP0062|Q4 2021 Paid Search - Upsell/Cross-sell|Paid Search|Customer Retention|Google Ads|Hibernating|East Africa|2021-08-16|2021-10-06|51|86755.24|61995.3|71.5|318947|3804|1.19|109|2.87|12627.81|0.2|16.3|568.76|Completed|No Test|google_ads|paid_search
CAMP0063|Q2 2023 Influencer - Customer Retention|Influencer|Lead Generation|Instagram|All Customers|Kenya|2021-08-01|2021-10-03|63|2752.61|2342.87|85.1|482571|15469|3.21|2048|13.24|305274.62|130.3|0.15|1.14|Active|Control|instagram|influencer
CAMP0064|Q4 2021 Social Media - Seasonal Promotion|Social Media|Customer Retention|Meta Ads|Hibernating|South Africa|2022-10-02|2022-10-10|8|3605.88|3189.95|88.5|113878|3913|3.44|238|6.08|11192.44|3.51|0.82|13.4|Completed|Variant A|meta_ads|social_media
CAMP0065|Q4 2022 SMS - New Customer Acquisition|SMS|Product Launch|Africa's Talking|Loyal Customers|South Africa|2021-01-20|2021-03-22|61|4115.3|2514.26|61.1|59677|4414|7.4|465|10.53|15675.42|6.23|0.57|5.41|Active|Variant A|africa's_talking|sms
CAMP0066|Q3 2022 Push Notification - Brand Awareness|Push Notification|Customer Retention|Firebase|Hibernating|Nigeria|2022-12-02|2022-12-27|25|3897.84|2992.4|76.8|185591|14754|7.95|2075|14.06|364997.06|121.97|0.2|1.44|Completed|Control|firebase|push_notification
CAMP0067|Q3 2021 SMS - Customer Retention|SMS|Lead Generation|Africa's Talking|All Customers|South Africa|2021-06-25|2021-08-31|67|996.42|792.95|79.6|299377|15939|5.32|1810|11.36|305568.99|385.36|0.05|0.44|Completed|Variant A|africa's_talking|sms
CAMP0068|Q4 2021 Retargeting - Brand Awareness|Retargeting|Upsell/Cross-sell|Meta Ads|New Customers|West Africa|2022-04-20|2022-05-20|30|2806.53|2656.49|94.7|286137|13212|4.62|1786|13.52|203939.34|76.77|0.2|1.49|Paused|Variant A|meta_ads|retargeting
CAMP0069|Q1 2021 Display - Lead Generation|Display|New Customer Acquisition|Google Display Network|Hibernating|Ghana|2021-11-17|2021-11-28|11|7717.61|7240.74|93.8|143687|5863|4.08|170|2.9|23668.33|3.27|1.23|42.59|Completed|Control|google_display_network|display
CAMP0070|Q1 2021 Paid Search - New Customer Acquisition|Paid Search|Brand Awareness|Google Ads|Hibernating|All Markets|2022-10-07|2022-11-08|32|15640.5|14212.41|90.9|487258|5497|1.13|462|8.4|69057.1|4.86|2.59|30.76|Completed|Variant A|google_ads|paid_search
CAMP0071|Q4 2021 Email - Seasonal Promotion|Email|Upsell/Cross-sell|Mailchimp|Lost Customers|Kenya|2021-08-26|2021-10-06|41|1423.13|1079.2|75.8|34409|2271|6.6|212|9.34|22424.44|20.78|0.48|5.09|Completed|Control|mailchimp|email
CAMP0072|Q1 2024 Social Media - Upsell/Cross-sell|Social Media|New Customer Acquisition|Meta Ads|New Customers|East Africa|2023-07-01|2023-07-26|25|1581.64|842.29|53.3|340625|19425|5.7|2128|10.95|141089.57|167.51|0.04|0.4|Completed|No Test|meta_ads|social_media
CAMP0073|Q3 2023 Social Media - Lead Generation|Social Media|Lead Generation|Meta Ads|Hibernating|West Africa|2021-01-05|2021-02-11|37|1943.57|1296.82|66.7|478596|26538|5.54|934|3.52|99611.69|76.81|0.05|1.39|Paused|Variant B|meta_ads|social_media
CAMP0074|Q2 2021 Social Media - Upsell/Cross-sell|Social Media|Seasonal Promotion|Meta Ads|All Customers|Ghana|2022-09-27|2022-12-25|89|8245.83|6686.22|81.1|425535|28355|6.66|2988|10.54|571137.19|85.42|0.24|2.24|Completed|Control|meta_ads|social_media
CAMP0075|Q1 2021 Email - Customer Retention|Email|Upsell/Cross-sell|Mailchimp|High Value|South Africa|2022-10-01|2022-11-20|50|2022.39|1655.94|81.9|23273|1745|7.5|68|3.9|11615.07|7.01|0.95|24.35|Completed|No Test|mailchimp|email
CAMP0076|Q2 2023 Social Media - Seasonal Promotion|Social Media|Upsell/Cross-sell|Meta Ads|Loyal Customers|All Markets|2023-07-12|2023-08-06|25|1300.43|1202.29|92.5|161175|6007|3.73|173|2.88|17957.15|14.94|0.2|6.95|Paused|Variant A|meta_ads|social_media
CAMP0077|Q1 2024 Email - Product Launch|Email|Product Launch|Mailchimp|Hibernating|Global|2021-03-20|2021-06-15|87|1267.27|874.03|69.0|119468|4761|3.99|386|8.11|23393.23|26.76|0.18|2.26|Completed|Control|mailchimp|email
CAMP0078|Q2 2022 SMS - Upsell/Cross-sell|SMS|Lead Generation|Africa's Talking|Loyal Customers|Global|2023-10-26|2023-11-13|18|4029.35|3901.66|96.8|56299|4406|7.83|432|9.8|77816.42|19.94|0.89|9.03|Completed|Variant A|africa's_talking|sms
CAMP0079|Q1 2021 Email - Win-Back|Email|New Customer Acquisition|Mailchimp|All Customers|All Markets|2023-01-10|2023-02-20|41|5164.82|3003.95|58.2|364920|20622|5.65|2981|14.46|402087.4|133.85|0.15|1.01|Draft|Variant B|mailchimp|email
CAMP0080|Q3 2021 Display - Product Launch|Display|New Customer Acquisition|Google Display Network|At Risk|West Africa|2023-04-29|2023-07-02|64|11709.79|6146.85|52.5|262516|18270|6.96|2025|11.08|188027.71|30.59|0.34|3.04|Completed|Control|google_display_network|display
CAMP0081|Q4 2022 Paid Search - Seasonal Promotion|Paid Search|Upsell/Cross-sell|Google Ads|High Value|South Africa|2021-01-03|2021-03-22|78|10288.03|6052.92|58.8|387390|9882|2.55|957|9.68|38374.13|6.34|0.61|6.32|Completed|Control|google_ads|paid_search
CAMP0082|Q3 2023 Push Notification - Seasonal Promotion|Push Notification|Brand Awareness|Firebase|Lost Customers|Ghana|2022-07-17|2022-08-17|31|15174.91|11095.31|73.1|291997|9401|3.22|450|4.79|69892.85|6.3|1.18|24.66|Paused|Variant B|firebase|push_notification
CAMP0083|Q1 2022 Social Media - Customer Retention|Social Media|Upsell/Cross-sell|Meta Ads|Hibernating|East Africa|2021-04-08|2021-05-09|31|5084.07|4633.9|91.1|252161|9434|3.74|375|3.97|28895.64|6.24|0.49|12.36|Completed|No Test|meta_ads|social_media
CAMP0084|Q1 2022 Display - Customer Retention|Display|Lead Generation|Google Display Network|Loyal Customers|South Africa|2023-03-03|2023-03-22|19|2199.47|1268.91|57.7|264359|8508|3.22|842|9.9|108731.72|85.69|0.15|1.51|Paused|Variant A|google_display_network|display
CAMP0085|Q1 2024 Paid Search - Upsell/Cross-sell|Paid Search|Upsell/Cross-sell|Google Ads|Hibernating|Global|2023-07-18|2023-09-04|48|6869.7|5317.79|77.4|116019|8341|7.19|409|4.9|50115.22|9.42|0.64|13.0|Completed|Variant A|google_ads|paid_search
CAMP0086|Q1 2024 Paid Search - Win-Back|Paid Search|New Customer Acquisition|Google Ads|Champions|Kenya|2021-07-24|2021-08-14|21|1395.18|1239.33|88.8|395736|18127|4.58|2028|11.19|295950.41|238.8|0.07|0.61|Paused|No Test|google_ads|paid_search
CAMP0087|Q1 2024 Paid Search - Seasonal Promotion|Paid Search|Upsell/Cross-sell|Google Ads|Lost Customers|All Markets|2022-08-30|2022-09-28|29|8371.16|4331.5|51.7|218320|16757|7.68|585|3.49|68311.5|15.77|0.26|7.4|Active|Control|google_ads|paid_search
CAMP0088|Q1 2022 Display - Brand Awareness|Display|Win-Back|Google Display Network|Champions|Nigeria|2023-10-28|2023-12-01|34|7608.98|3962.45|52.1|333703|10843|3.25|696|6.42|92897.96|23.44|0.37|5.69|Completed|Control|google_display_network|display
CAMP0089|Q2 2022 Email - Seasonal Promotion|Email|Brand Awareness|Mailchimp|Lost Customers|West Africa|2023-07-29|2023-08-17|19|17670.26|13169.57|74.5|439939|5546|1.26|668|12.04|23164.66|1.76|2.37|19.71|Completed|No Test|mailchimp|email
CAMP0090|Q3 2021 Email - Seasonal Promotion|Email|Brand Awareness|Mailchimp|All Customers|All Markets|2023-12-15|2024-03-05|81|13562.86|8020.03|59.1|130619|2569|1.97|329|12.81|45977.8|5.73|3.12|24.38|Completed|Variant B|mailchimp|email
CAMP0091|Q2 2024 Email - Upsell/Cross-sell|Email|Seasonal Promotion|Mailchimp|High Value|South Africa|2022-03-12|2022-05-01|50|8837.85|6409.96|72.5|316328|7970|2.52|517|6.49|28411.4|4.43|0.8|12.4|Completed|Control|mailchimp|email
CAMP0092|Q3 2021 SMS - Seasonal Promotion|SMS|Brand Awareness|Africa's Talking|New Customers|East Africa|2021-05-22|2021-08-14|84|917.65|478.98|52.2|52223|2862|5.48|134|4.68|12134.58|25.33|0.17|3.57|Active|Variant B|africa's_talking|sms
CAMP0093|Q4 2024 Paid Search - Win-Back|Paid Search|Lead Generation|Google Ads|Loyal Customers|West Africa|2021-02-14|2021-04-13|58|3331.37|3292.84|98.8|106472|2414|2.27|349|14.46|39177.42|11.9|1.36|9.44|Paused|No Test|google_ads|paid_search
CAMP0094|Q1 2022 Paid Search - Customer Retention|Paid Search|Seasonal Promotion|Google Ads|Loyal Customers|Global|2022-02-10|2022-03-23|41|9767.69|8078.8|82.7|70921|2603|3.67|310|11.91|44527.75|5.51|3.1|26.06|Active|Variant A|google_ads|paid_search
CAMP0095|Q2 2021 Display - Upsell/Cross-sell|Display|Customer Retention|Google Display Network|New Customers|South Africa|2021-08-03|2021-09-25|53|22536.01|19005.7|84.3|131989|8669|6.57|1083|12.49|166388.79|8.75|2.19|17.55|Draft|Variant A|google_display_network|display
CAMP0096|Q2 2023 SMS - Customer Retention|SMS|Win-Back|Africa's Talking|New Customers|Nigeria|2022-06-22|2022-08-02|41|10272.19|7754.11|75.5|306668|5745|1.87|281|4.89|41274.99|5.32|1.35|27.59|Paused|Control|africa's_talking|sms
CAMP0097|Q2 2024 Paid Search - Product Launch|Paid Search|Lead Generation|Google Ads|High Value|Nigeria|2022-12-26|2023-02-20|56|1366.47|1246.84|91.2|90308|1412|1.56|106|7.51|3934.61|3.16|0.88|11.76|Active|Variant B|google_ads|paid_search
CAMP0098|Q1 2022 Email - Seasonal Promotion|Email|Lead Generation|Mailchimp|Hibernating|All Markets|2023-03-10|2023-04-25|46|27578.49|25281.31|91.7|429672|20537|4.78|593|2.89|53158.13|2.1|1.23|42.63|Paused|Variant B|mailchimp|email
CAMP0099|Q2 2024 Email - Win-Back|Email|Upsell/Cross-sell|Mailchimp|Champions|South Africa|2022-07-11|2022-10-02|83|5674.55|3288.66|58.0|93384|5497|5.89|188|3.42|13257.71|4.03|0.6|17.49|Completed|Control|mailchimp|email
